post_id,category,post_text,timestamp
1,Phishing,Looking for buyers of stolen PayPal credentials.,2024-01-01 00:00:00
2,Ransomware,Exclusive forum for hackers—invites only!,2024-01-01 01:00:00
3,Phishing,Zero-day exploits available for purchase.,2024-01-01 02:00:00
4,DDoS-for-hire,Zero-day exploits available for purchase.,2024-01-01 03:00:00
5,Anonymity Services,Selling high-quality ransomware with encryption.,2024-01-01 04:00:00
6,Anonymity Services,"New exploit found in Windows 11, selling access.",2024-01-01 05:00:00
7,Anonymity Services,Best anonymous VPN for dark web access?,2024-01-01 06:00:00
8,Carding,Best anonymous VPN for dark web access?,2024-01-01 07:00:00
9,Exploit Kits,"New exploit found in Windows 11, selling access.",2024-01-01 08:00:00
10,Exploit Kits,Anyone interested in malware development? I have samples.,2024-01-01 09:00:00
11,Carding,Selling high-quality ransomware with encryption.,2024-01-01 10:00:00
12,Anonymity Services,Looking for botnet rental services. Need advice?,2024-01-01 11:00:00
13,Hacking Tools,Best anonymous VPN for dark web access?,2024-01-01 12:00:00
14,DDoS-for-hire,Exclusive forum for hackers—invites only!,2024-01-01 13:00:00
15,DDoS-for-hire,Looking for buyers of stolen PayPal credentials.,2024-01-01 14:00:00
16,Anonymity Services,"New exploit found in Windows 11, selling access.",2024-01-01 15:00:00
17,Carding,Zero-day exploits available for purchase.,2024-01-01 16:00:00
18,Ransomware,Selling high-quality ransomware with encryption.,2024-01-01 17:00:00
19,Stolen Credentials,Looking for botnet rental services. Need advice?,2024-01-01 18:00:00
20,Exploit Kits,Looking for botnet rental services. Need advice?,2024-01-01 19:00:00
21,Data Leaks,Selling high-quality ransomware with encryption.,2024-01-01 20:00:00
22,Trojan Deployment,Exclusive forum for hackers—invites only!,2024-01-01 21:00:00
23,DDoS-for-hire,Exclusive forum for hackers—invites only!,2024-01-01 22:00:00
24,Carding,Selling high-quality ransomware with encryption.,2024-01-01 23:00:00
25,Data Leaks,Looking for botnet rental services. Need advice?,2024-01-02 00:00:00
26,Anonymity Services,Looking for buyers of stolen PayPal credentials.,2024-01-02 01:00:00
27,Stolen Credentials,Best anonymous VPN for dark web access?,2024-01-02 02:00:00
28,Anonymity Services,We need volunteers for a DDoS attack on major bank sites.,2024-01-02 03:00:00
29,Phishing,"New exploit found in Windows 11, selling access.",2024-01-02 04:00:00
30,Data Leaks,Anyone interested in malware development? I have samples.,2024-01-02 05:00:00
31,Anonymity Services,Best anonymous VPN for dark web access?,2024-01-02 06:00:00
32,Anonymity Services,We need volunteers for a DDoS attack on major bank sites.,2024-01-02 07:00:00
33,Carding,Selling high-quality ransomware with encryption.,2024-01-02 08:00:00
34,Stolen Credentials,We need volunteers for a DDoS attack on major bank sites.,2024-01-02 09:00:00
35,DDoS-for-hire,"Dump of 10,000 stolen emails available.",2024-01-02 10:00:00
